Descripcion;SKU_Detectado;Imagen_Original;Imagen_Final;Imagen_URL_Origen;URL_Producto;Fuente
GUARDAPOLVO BARRAS AKT-125/SP/SL/NKD;;image150.jpeg;guardapolvo-barras-akt-125-sp-sl-nkd-170.jpeg;;;DOCX_V2_SEGURO
BWS-125/GN;;image151.jpeg;bws-125-gn.jpeg;;;DOCX_V2_SEGURO
BWS-125/GN;;image152.jpeg;bws-125-gn-172.jpeg;;;DOCX_V2_SEGURO
GUARDAPOLVO BARRAS RX-100/115/135;;image153.jpeg;guardapolvo-barras-rx-100-115-135.jpeg;;;DOCX_V2_SEGURO
GUARDAPOLVO BARRAS RX-100/115/135;;image154.jpeg;guardapolvo-barras-rx-100-115-135-174.jpeg;;;DOCX_V2_SEGURO
UNIVERSAL BOLSA (10 UNDS);;image155.jpeg;universal-bolsa-10-unds.jpeg;;;DOCX_V2_SEGURO
CORREA DE BATERIA LARGA UNIVERSAL;;image156.jpeg;correa-de-bateria-larga-universal.jpeg;;;DOCX_V2_SEGURO
SLAIDER EN CAUCHO PARA DEFENSA UNIVERSAL;;image157.jpeg;slaider-en-caucho-para-defensa-universal.jpeg;;;DOCX_V2_SEGURO
SLAIDER EN CAUCHO PARA DEFENSA UNIVERSAL;;image158.jpeg;slaider-en-caucho-para-defensa-universal-178.jpeg;;;DOCX_V2_SEGURO
SLAIDER EN CAUCHO PARA DEFENSA UNIVERSAL;;image159.jpeg;slaider-en-caucho-para-defensa-universal-179.jpeg;;;DOCX_V2_SEGURO
04813 DIAFRAGMA BAJAJ PULSAR 180- 200 $ 7.800;;image2.jpeg;04813-diafragma-bajaj-pulsar-180-200-7-800.jpeg;;;DOCX_V2_SEGURO
04813 DIAFRAGMA BAJAJ PULSAR 180- 200 $ 7.800;;image3.jpeg;04813-diafragma-bajaj-pulsar-180-200-7-800-193.jpeg;;;DOCX_V2_SEGURO
DIAFRAGMA CARBURADOR;;image2.jpeg;diafragma-carburador.jpeg;;;DOCX_V2_SEGURO
DIAFRAGMA CARBURADOR;;image3.jpeg;diafragma-carburador-195.jpeg;;;DOCX_V2_SEGURO
DIAFRAGMA CARBURADOR;;image164.jpeg;diafragma-carburador-196.jpeg;;;DOCX_V2_SEGURO
DIAFRAGMA CARBURADOR;;image165.jpeg;diafragma-carburador-197.jpeg;;;DOCX_V2_SEGURO
AKT EVO- 150/200;;image2.jpeg;akt-evo-150-200.jpeg;;;DOCX_V2_SEGURO
AKT EVO- 150/200;;image3.jpeg;akt-evo-150-200-211.jpeg;;;DOCX_V2_SEGURO
KIT CAUCHOS DE PRENS;;image2.jpeg;kit-cauchos-de-prens.jpeg;;;DOCX_V2_SEGURO
KIT CAUCHOS DE PRENS;;image3.jpeg;kit-cauchos-de-prens-213.jpeg;;;DOCX_V2_SEGURO
Y REMACHES;;image170.jpeg;y-remaches.jpeg;;;DOCX_V2_SEGURO
CAUCHOS DE CAMPANA 100% LLANTA;;image172.jpeg;cauchos-de-campana-100-llanta.jpeg;;;DOCX_V2_SEGURO
HERO100/C90/C70/STROM;;image173.jpeg;hero100-c90-c70-strom.jpeg;;;DOCX_V2_SEGURO
AX4/CB- 110/WAVE/BIZ TIPO ORIGINAL;;image179.jpeg;ax4-cb-110-wave-biz-tipo-original.jpeg;;;DOCX_V2_SEGURO
AX4/CB-110/WAVE/BIZ;;image180.jpeg;ax4-cb-110-wave-biz.jpeg;;;DOCX_V2_SEGURO
TIPO ORIGINAL;;image181.jpeg;tipo-original.jpeg;;;DOCX_V2_SEGURO
TIPO ORIGINAL;;image182.jpeg;tipo-original-228.jpeg;;;DOCX_V2_SEGURO
CAUCHO CAMPANA A BASE DE NITRILO;;image183.jpeg;caucho-campana-a-base-de-nitrilo.jpeg;;;DOCX_V2_SEGURO
CB-110/AX-4/WAVE/BIZ;;image184.jpeg;cb-110-ax-4-wave-biz.jpeg;;;DOCX_V2_SEGURO
CB-110/AX-4/WAVE/BIZ;;image185.jpeg;cb-110-ax-4-wave-biz-231.jpeg;;;DOCX_V2_SEGURO
CB-110/AX-4/WAVE/BIZ;;image186.jpeg;cb-110-ax-4-wave-biz-232.jpeg;;;DOCX_V2_SEGURO
CB-110/AX-4/WAVE/BIZ;;image187.jpeg;cb-110-ax-4-wave-biz-233.jpeg;;;DOCX_V2_SEGURO
